SpatialScale,TimeScale,Gas,R2,RMSE,MAE
E,daily,Y,0.74,4.84,3.57
E,daily,N,0.59,6.11,4.29
E,Monthly_D,Y,0.85,2.98,2.19
E,Monthly_D,N,0.61,4.77,3.06
E,Monthly,Y,0.93,2.07,1.54
E,Monthly,N,0.76,3.77,2.58
S,daily,Y,0.72,3.71,2.85
S,daily,N,0.61,4.38,3.37
S,Monthly_D,Y,0.56,3.06,2.44
S,Monthly_D,N,0.45,3.46,2.83
S,Monthly,Y,0.63,2.84,2.24
S,Monthly,N,0.59,2.99,2.5
W,daily,Y,0.71,5.6,3.81
W,daily,N,0.64,6.33,4.37
W,Monthly_D,Y,0.72,3.52,2.79
W,Monthly_D,N,0.58,4.33,3.28
W,Monthly,Y,0.87,2.46,1.96
W,Monthly,N,0.86,2.5,1.81
N,daily,Y,0.78,5.86,4.14
N,daily,N,0.72,6.65,4.69
N,Monthly_D,Y,0.72,4.9,3.72
N,Monthly_D,N,0.34,7.56,5.57
N,Monthly,Y,0.84,3.73,2.96
N,Monthly,N,0.8,4.2,3.24
A,daily,Y,0.88,4.86,3.29
A,daily,N,0.86,5.3,3.55
A,Monthly_D,Y,0.94,3.06,2.11
A,Monthly_D,N,0.92,3.67,2.66
A,Monthly,Y,0.96,2.64,1.88
A,Monthly,N,0.94,2.99,2.15
C,daily,Y,0.82,5.27,3.71
C,daily,N,0.74,6.31,4.48
C,Monthly_D,Y,0.84,3.92,3.05
C,Monthly_D,N,0.76,4.78,3.73
C,Monthly,Y,0.9,3.14,2.48
C,Monthly,N,0.88,3.39,2.66
