SpatialScale,TimeScale,Gas,R2,RMSE,MAE
E,daily,Y,0.66,5.58,3.95
E,daily,N,0.56,6.31,4.29
E,Monthly_D,Y,0.51,5.35,3.27
E,Monthly_D,N,0.26,6.57,4.21
E,Monthly,Y,0.68,4.32,2.75
E,Monthly,N,0.65,4.55,3.01
S,daily,Y,0.66,4.08,3.1
S,daily,N,0.59,4.47,3.43
S,Monthly_D,Y,0.35,3.73,3.1
S,Monthly_D,N,0.29,3.9,3.18
S,Monthly,Y,0.44,3.47,2.84
S,Monthly,N,0.42,3.53,2.91
W,daily,Y,0.68,5.9,4.06
W,daily,N,0.61,6.56,4.53
W,Monthly_D,Y,0.47,4.85,3.84
W,Monthly_D,N,0.47,4.86,3.92
W,Monthly,Y,0.65,3.96,3.24
W,Monthly,N,0.51,4.68,3.64
N,daily,Y,0.77,6.09,4.28
N,daily,N,0.68,7.06,4.94
N,Monthly_D,Y,0.67,5.36,4.15
N,Monthly_D,N,0.57,6.11,4.64
N,Monthly,Y,0.77,4.5,3.4
N,Monthly,N,0.69,5.23,3.81
A,daily,Y,0.87,5.08,3.43
A,daily,N,0.85,5.58,3.74
A,Monthly_D,Y,0.92,3.65,2.44
A,Monthly_D,N,0.88,4.28,3.04
A,Monthly,Y,0.92,3.61,2.42
A,Monthly,N,0.91,3.85,2.71
C,daily,Y,0.79,5.76,4.09
C,daily,N,0.73,6.48,4.55
C,Monthly_D,Y,0.81,4.3,3.12
C,Monthly_D,N,0.69,5.44,4.22
C,Monthly,Y,0.83,4.1,3.02
C,Monthly,N,0.78,4.64,3.54
