SpatialScale,TimeScale,Gas,R2,RMSE,MAE
E,daily,Y,0.73,5,3.66
E,daily,N,0.6,6.06,4.17
E,Monthly_D,Y,0.75,3.85,2.67
E,Monthly_D,N,0.61,4.78,3.22
E,Monthly,Y,0.78,3.59,2.46
E,Monthly,N,0.69,4.28,3.04
S,daily,Y,0.69,3.88,2.98
S,daily,N,0.57,4.6,3.51
S,Monthly_D,Y,0.37,3.68,3.05
S,Monthly_D,N,0.4,3.61,2.92
S,Monthly,Y,0.53,3.2,2.62
S,Monthly,N,0.41,3.55,2.93
W,daily,Y,0.7,5.72,3.97
W,daily,N,0.64,6.31,4.36
W,Monthly_D,Y,0.56,4.44,3.67
W,Monthly_D,N,0.47,4.89,3.71
W,Monthly,Y,0.72,3.52,2.88
W,Monthly,N,0.67,3.86,2.89
N,daily,Y,0.78,5.88,4.18
N,daily,N,0.71,6.74,4.85
N,Monthly_D,Y,0.71,5.04,3.8
N,Monthly_D,N,0.37,7.36,5.49
N,Monthly,Y,0.72,4.94,3.64
N,Monthly,N,0.62,5.77,4.27
A,daily,Y,0.88,4.91,3.35
A,daily,N,0.85,5.51,3.76
A,Monthly_D,Y,0.93,3.34,2.33
A,Monthly_D,N,0.9,3.96,2.8
A,Monthly,Y,0.94,3.13,2.19
A,Monthly,N,0.92,3.62,2.57
C,daily,Y,0.8,5.61,4.01
C,daily,N,0.74,6.33,4.56
C,Monthly_D,Y,0.85,3.8,2.79
C,Monthly_D,N,0.67,5.6,4.33
C,Monthly,Y,0.88,3.34,2.52
C,Monthly,N,0.83,4,3.06
