loc,time_scale,spatial_scale,gas,r2,rmse,mae
E,daily,r,_gas,0.744,4.836999893188477,3.571000099182129
E,daily,a,_gas,0.744,4.841,3.549
E,daily,c,_gas,0.776,4.521,3.336
E,daily,r,,0.592,6.111,4.295
E,daily,a,,0.649,5.668,4.137
E,daily,c,,0.641,5.72599983215332,4.124000072479248
E,monthly_le,r,_gas,0.848,2.977,2.186
E,monthly_le,a,_gas,0.863,2.83,2.064
E,monthly_le,c,_gas,0.918,2.191,1.648
E,monthly_le,r,,0.61,4.774,3.055
E,monthly_le,a,,0.725,4.009,3.018
E,monthly_le,c,,0.737,3.921,2.86
E,monthly,r,_gas,0.926,2.072,1.541
E,monthly,a,_gas,0.909,2.299999952316284,1.7660000324249268
E,monthly,c,_gas,0.936,1.936,1.479
E,monthly,r,,0.756,3.771,2.576
E,monthly,a,,0.784,3.549999952316284,2.509000062942505
E,monthly,c,,0.901,2.402,1.823
S,daily,r,_gas,0.718,3.711,2.853
S,daily,a,_gas,0.672,4.005,3.124
S,daily,c,_gas,0.709,3.767,2.952
S,daily,r,,0.607,4.383999824523926,3.368000030517578
S,daily,a,,0.6,4.419,3.403
S,daily,c,,0.551,4.682000160217285,3.5910000801086426
S,monthly_le,r,_gas,0.565,3.062000036239624,2.437999963760376
S,monthly_le,a,_gas,0.482,3.34,2.696
S,monthly_le,c,_gas,0.679,2.631,2.145
S,monthly_le,r,,0.445,3.457,2.834
S,monthly_le,a,,0.563,3.069,2.461
S,monthly_le,c,,0.56,3.079,2.452
S,monthly,r,_gas,0.625,2.8410000801086426,2.243000030517578
S,monthly,a,_gas,0.584,2.994999885559082,2.2929999828338623
S,monthly,c,_gas,0.698,2.553,2.143
S,monthly,r,,0.586,2.987,2.502
S,monthly,a,,0.558,3.0869998931884766,2.443000078201294
S,monthly,c,,0.538,3.156,2.49
W,daily,r,_gas,0.715,5.604,3.813
W,daily,a,_gas,0.719,5.565,3.934
W,daily,c,_gas,0.739,5.365,3.767
W,daily,r,,0.637,6.327,4.368
W,daily,a,,0.674,5.989,4.172
W,daily,c,,0.652,6.185999870300293,4.425000190734863
W,monthly_le,r,_gas,0.724,3.5220000743865967,2.7860000133514404
W,monthly_le,a,_gas,0.64,4.017,2.927
W,monthly_le,c,_gas,0.447,4.98,4.2
W,monthly_le,r,,0.583,4.328,3.281
W,monthly_le,a,,0.392,5.222,4.22
W,monthly_le,c,,0.161,6.138,5.07
W,monthly,r,_gas,0.865,2.461,1.958
W,monthly,a,_gas,0.806,2.9519999027252197,2.299999952316284
W,monthly,c,_gas,0.736,3.443,2.787
W,monthly,r,,0.861,2.496,1.811
W,monthly,a,,0.705,3.6389999389648438,2.875999927520752
W,monthly,c,,0.693,3.71,3.019
N,daily,r,_gas,0.782,5.863,4.137
N,daily,a,_gas,0.769,6.042,4.212
N,daily,c,_gas,0.792,5.733,3.989
N,daily,r,,0.72,6.645,4.695
N,daily,a,,0.723,6.616,4.599
N,daily,c,,0.703,6.84499979019165,4.829999923706055
N,monthly_le,r,_gas,0.722,4.907,3.719
N,monthly_le,a,_gas,0.86,3.485,2.596
N,monthly_le,c,_gas,0.806,4.1,3.244
N,monthly_le,r,,0.341,7.559,5.569
N,monthly_le,a,,0.762,4.544,3.624
N,monthly_le,c,,0.753,4.628,3.691
N,monthly,r,_gas,0.84,3.729,2.956
N,monthly,a,_gas,0.887,3.134999990463257,2.4079999923706055
N,monthly,c,_gas,0.862,3.461,2.793
N,monthly,r,,0.797,4.198,3.243
N,monthly,a,,0.85,3.611999988555908,2.8359999656677246
N,monthly,c,,0.85,3.612,2.865
