features,category,location,ranking
AOT_C,aod,E,15.0
AOT_C,aod,S,14.0
AOT_C,aod,W,15.0
AOT_C,aod,N,14.0
AOT_DUST_C,aod,E,11.0
AOT_DUST_C,aod,S,13.0
AOT_DUST_C,aod,W,10.0
AOT_DUST_C,aod,N,11.0
EmisNO_Fert,emission,E,3.0
EmisNO_Fert,emission,S,3.0
EmisNO_Fert,emission,W,4.0
EmisNO_Fert,emission,N,3.0
EmisNO_Lightning,emission,E,6.0
EmisNO_Lightning,emission,S,11.0
EmisNO_Lightning,emission,W,9.0
EmisNO_Lightning,emission,N,10.0
EmisNO_Ship,emission,E,1.0
EmisNO_Ship,emission,S,8.0
EmisNO_Ship,emission,W,5.0
EmisNO_Ship,emission,N,1.0
EmisNO_Soil,emission,E,5.0
EmisNO_Soil,emission,S,2.0
EmisNO_Soil,emission,W,1.0
EmisNO_Soil,emission,N,2.0
T2M,met,E,9.0
T2M,met,S,9.0
T2M,met,W,12.0
T2M,met,N,15.0
PBLH,met,E,7.0
PBLH,met,S,12.0
PBLH,met,W,16.0
PBLH,met,N,13.0
U10M,met,E,2.0
U10M,met,S,15.0
U10M,met,W,8.0
U10M,met,N,7.0
V10M,met,E,4.0
V10M,met,S,4.0
V10M,met,W,6.0
V10M,met,N,5.0
PRECTOT,met,E,8.0
PRECTOT,met,S,1.0
PRECTOT,met,W,3.0
PRECTOT,met,N,4.0
RH,met,E,12.0
RH,met,S,7.0
RH,met,W,7.0
RH,met,N,6.0
CO_trop,gas,E,10.0
CO_trop,gas,S,16.0
CO_trop,gas,W,18.0
CO_trop,gas,N,17.0
SO2_trop,gas,E,13.0
SO2_trop,gas,S,17.0
SO2_trop,gas,W,11.0
SO2_trop,gas,N,16.0
NO2_trop,gas,E,16.0
NO2_trop,gas,S,10.0
NO2_trop,gas,W,17.0
NO2_trop,gas,N,9.0
CH2O_trop,gas,E,14.0
CH2O_trop,gas,S,6.0
CH2O_trop,gas,W,13.0
CH2O_trop,gas,N,8.0
NH3_trop,gas,E,17.0
NH3_trop,gas,S,5.0
NH3_trop,gas,W,14.0
NH3_trop,gas,N,12.0
EmisDST_Natural,emission,W,2.0
AOT_C,aod,C,16.0
AOT_DUST_C,aod,C,12.0
EmisDST_Natural,emission,C,1.0
EmisNO_Fert,emission,C,4.0
EmisNO_Lightning,emission,C,9.0
EmisNO_Ship,emission,C,2.0
EmisNO_Soil,emission,C,3.0
T2M,met,C,15.0
PBLH,met,C,11.0
U10M,met,C,6.0
V10M,met,C,5.0
PRECTOT,met,C,7.0
RH,met,C,8.0
CO_trop,gas,C,18.0
SO2_trop,gas,C,17.0
NO2_trop,gas,C,13.0
CH2O_trop,gas,C,10.0
NH3_trop,gas,C,14.0
AOT_C,aod,A,16.0
AOT_DUST_C,aod,A,12.0
EmisDST_Natural,emission,A,1.0
EmisNO_Fert,emission,A,6.0
EmisNO_Lightning,emission,A,7.0
EmisNO_Ship,emission,A,2.0
EmisNO_Soil,emission,A,5.0
T2M,met,A,14.0
PBLH,met,A,10.0
U10M,met,A,9.0
V10M,met,A,3.0
PRECTOT,met,A,4.0
RH,met,A,8.0
CO_trop,gas,A,18.0
SO2_trop,gas,A,17.0
NO2_trop,gas,A,13.0
CH2O_trop,gas,A,15.0
NH3_trop,gas,A,11.0
