features,category,location,ranking
AOT_C,aod,E,12.0
AOT_C,aod,S,11.0
AOT_C,aod,W,13.0
AOT_C,aod,N,12.0
AOT_DUST_C,aod,E,10.0
AOT_DUST_C,aod,S,9.0
AOT_DUST_C,aod,W,10.0
AOT_DUST_C,aod,N,8.0
EmisNO_Fert,emission,E,3.0
EmisNO_Fert,emission,S,2.0
EmisNO_Fert,emission,W,7.0
EmisNO_Fert,emission,N,3.0
EmisNO_Lightning,emission,E,8.0
EmisNO_Lightning,emission,S,10.0
EmisNO_Lightning,emission,W,4.0
EmisNO_Lightning,emission,N,4.0
EmisNO_Ship,emission,E,1.0
EmisNO_Ship,emission,S,1.0
EmisNO_Ship,emission,W,2.0
EmisNO_Ship,emission,N,1.0
EmisNO_Soil,emission,E,2.0
EmisNO_Soil,emission,S,3.0
EmisNO_Soil,emission,W,6.0
EmisNO_Soil,emission,N,2.0
T2M,met,E,7.0
T2M,met,S,6.0
T2M,met,W,8.0
T2M,met,N,10.0
PBLH,met,E,6.0
PBLH,met,S,8.0
PBLH,met,W,12.0
PBLH,met,N,11.0
U10M,met,E,5.0
U10M,met,S,12.0
U10M,met,W,11.0
U10M,met,N,9.0
V10M,met,E,4.0
V10M,met,S,4.0
V10M,met,W,5.0
V10M,met,N,5.0
PRECTOT,met,E,9.0
PRECTOT,met,S,5.0
PRECTOT,met,W,3.0
PRECTOT,met,N,7.0
RH,met,E,11.0
RH,met,S,7.0
RH,met,W,9.0
RH,met,N,6.0
EmisDST_Natural,emission,W,1.0
AOT_C,aod,C,13.0
AOT_DUST_C,aod,C,10.0
EmisDST_Natural,emission,C,1.0
EmisNO_Fert,emission,C,3.0
EmisNO_Lightning,emission,C,6.0
EmisNO_Ship,emission,C,2.0
EmisNO_Soil,emission,C,4.0
T2M,met,C,11.0
PBLH,met,C,12.0
U10M,met,C,8.0
V10M,met,C,5.0
PRECTOT,met,C,7.0
RH,met,C,9.0
AOT_C,aod,A,13.0
AOT_DUST_C,aod,A,11.0
EmisDST_Natural,emission,A,1.0
EmisNO_Fert,emission,A,7.0
EmisNO_Lightning,emission,A,3.0
EmisNO_Ship,emission,A,2.0
EmisNO_Soil,emission,A,9.0
T2M,met,A,12.0
PBLH,met,A,10.0
U10M,met,A,8.0
V10M,met,A,4.0
PRECTOT,met,A,5.0
RH,met,A,6.0
