features,category,location,ranking
EmisNO_Fert,emission,E,11.0
EmisNO_Fert,emission,S,8.0
EmisNO_Fert,emission,W,26.0
EmisNO_Fert,emission,N,11.0
EmisNO_Lightning,emission,E,21.0
EmisNO_Lightning,emission,S,30.0
EmisNO_Lightning,emission,W,25.0
EmisNO_Lightning,emission,N,27.0
EmisNO_Ship,emission,E,1.5
EmisNO_Ship,emission,S,12.0
EmisNO_Ship,emission,W,1.0
EmisNO_Ship,emission,N,1.0
EmisNO_Soil,emission,E,9.0
EmisNO_Soil,emission,S,21.0
EmisNO_Soil,emission,W,12.0
EmisNO_Soil,emission,N,10.0
EmisBC_Anthro,emission,E,8.0
EmisBC_Anthro,emission,S,15.0
EmisBC_Anthro,emission,W,14.0
EmisBC_Anthro,emission,N,12.0
EmisBC_BioBurn,emission,E,22.0
EmisBC_BioBurn,emission,S,1.0
EmisBC_BioBurn,emission,W,10.0
EmisBC_BioBurn,emission,N,4.0
EmisCH2O_Anthro,emission,E,12.0
EmisCH2O_Anthro,emission,S,28.0
EmisCH2O_Anthro,emission,W,21.0
EmisCH2O_Anthro,emission,N,20.0
EmisCH2O_BioBurn,emission,E,29.0
EmisCH2O_BioBurn,emission,S,3.0
EmisCH2O_BioBurn,emission,W,9.0
EmisCH2O_BioBurn,emission,N,2.0
EmisCO_Anthro,emission,E,3.0
EmisCO_Anthro,emission,S,27.0
EmisCO_Anthro,emission,W,13.0
EmisCO_Anthro,emission,N,18.0
EmisCO_BioBurn,emission,E,19.0
EmisCO_BioBurn,emission,S,2.0
EmisCO_BioBurn,emission,W,8.0
EmisCO_BioBurn,emission,N,6.0
EmisCO_Ship,emission,E,1.5
EmisCO_Ship,emission,S,9.0
EmisCO_Ship,emission,W,2.0
EmisCO_Ship,emission,N,9.0
EmisNH3_Anthro,emission,E,5.0
EmisNH3_Anthro,emission,S,20.0
EmisNH3_Anthro,emission,W,29.0
EmisNH3_Anthro,emission,N,22.0
EmisNH3_BioBurn,emission,E,25.0
EmisNH3_BioBurn,emission,S,6.0
EmisNH3_BioBurn,emission,W,5.0
EmisNH3_BioBurn,emission,N,8.0
EmisNH3_Natural,emission,E,16.0
EmisNH3_Natural,emission,S,31.0
EmisNH3_Natural,emission,W,16.0
EmisNH3_Natural,emission,N,29.0
EmisNO_Aircraft,emission,E,20.0
EmisNO_Aircraft,emission,S,22.0
EmisNO_Aircraft,emission,W,17.0
EmisNO_Aircraft,emission,N,17.0
EmisNO_Anthro,emission,E,6.0
EmisNO_Anthro,emission,S,19.0
EmisNO_Anthro,emission,W,20.0
EmisNO_Anthro,emission,N,15.0
EmisNO_BioBurn,emission,E,17.0
EmisNO_BioBurn,emission,S,5.0
EmisNO_BioBurn,emission,W,6.0
EmisNO_BioBurn,emission,N,7.0
EmisOC_Anthro,emission,E,15.0
EmisOC_Anthro,emission,S,26.0
EmisOC_Anthro,emission,W,19.0
EmisOC_Anthro,emission,N,24.0
EmisOC_BioBurn,emission,E,28.0
EmisOC_BioBurn,emission,S,4.0
EmisOC_BioBurn,emission,W,7.0
EmisOC_BioBurn,emission,N,5.0
EmisSO2_Aircraft,emission,E,13.0
EmisSO2_Aircraft,emission,S,24.0
EmisSO2_Aircraft,emission,W,15.0
EmisSO2_Aircraft,emission,N,21.0
EmisSO2_Anthro,emission,E,4.0
EmisSO2_Anthro,emission,S,10.0
EmisSO2_Anthro,emission,W,22.0
EmisSO2_Anthro,emission,N,14.0
EmisSO2_BioBurn,emission,E,27.0
EmisSO2_BioBurn,emission,S,7.0
EmisSO2_BioBurn,emission,W,3.0
EmisSO2_BioBurn,emission,N,3.0
EmisSO4_Anthro,emission,E,7.0
EmisSO4_Anthro,emission,S,11.0
EmisSO4_Anthro,emission,W,11.0
EmisSO4_Anthro,emission,N,13.0
T2M,met,E,24.0
T2M,met,S,29.0
T2M,met,W,18.0
T2M,met,N,32.0
PBLH,met,E,18.0
PBLH,met,S,33.0
PBLH,met,W,30.0
PBLH,met,N,30.0
U10M,met,E,10.0
U10M,met,S,23.0
U10M,met,W,32.0
U10M,met,N,26.0
V10M,met,E,14.0
V10M,met,S,25.0
V10M,met,W,35.0
V10M,met,N,19.0
PRECTOT,met,E,26.0
PRECTOT,met,S,13.0
PRECTOT,met,W,33.0
PRECTOT,met,N,16.0
RH,met,E,23.0
RH,met,S,14.0
RH,met,W,24.0
RH,met,N,25.0
CO_trop,gas,E,30.0
CO_trop,gas,S,32.0
CO_trop,gas,W,28.0
CO_trop,gas,N,34.0
SO2_trop,gas,E,34.0
SO2_trop,gas,S,34.0
SO2_trop,gas,W,34.0
