features,category,location,ranking
AOT_C,aod,E,31.0
AOT_C,aod,S,30.0
AOT_C,aod,W,32.0
AOT_C,aod,N,30.0
AOT_DUST_C,aod,E,24.0
AOT_DUST_C,aod,S,26.0
AOT_DUST_C,aod,W,27.0
AOT_DUST_C,aod,N,26.0
EmisNO_Fert,emission,E,21.0
EmisNO_Fert,emission,S,17.0
EmisNO_Fert,emission,W,8.0
EmisNO_Fert,emission,N,11.0
EmisNO_Lightning,emission,E,25.0
EmisNO_Lightning,emission,S,29.0
EmisNO_Lightning,emission,W,17.0
EmisNO_Lightning,emission,N,22.0
EmisNO_Ship,emission,E,1.5
EmisNO_Ship,emission,S,9.0
EmisNO_Ship,emission,W,3.0
EmisNO_Ship,emission,N,9.0
EmisNO_Soil,emission,E,9.0
EmisNO_Soil,emission,S,19.0
EmisNO_Soil,emission,W,6.0
EmisNO_Soil,emission,N,17.0
EmisBC_Anthro,emission,E,14.0
EmisBC_Anthro,emission,S,22.0
EmisBC_Anthro,emission,W,22.0
EmisBC_Anthro,emission,N,16.0
EmisBC_BioBurn,emission,E,10.0
EmisBC_BioBurn,emission,S,6.0
EmisBC_BioBurn,emission,W,11.0
EmisBC_BioBurn,emission,N,2.0
EmisCH2O_Anthro,emission,E,15.0
EmisCH2O_Anthro,emission,S,21.0
EmisCH2O_Anthro,emission,W,30.0
EmisCH2O_Anthro,emission,N,19.0
EmisCH2O_BioBurn,emission,E,8.0
EmisCH2O_BioBurn,emission,S,1.0
EmisCH2O_BioBurn,emission,W,9.0
EmisCH2O_BioBurn,emission,N,5.0
EmisCO_Anthro,emission,E,12.0
EmisCO_Anthro,emission,S,13.0
EmisCO_Anthro,emission,W,23.0
EmisCO_Anthro,emission,N,14.0
EmisCO_BioBurn,emission,E,3.0
EmisCO_BioBurn,emission,S,7.0
EmisCO_BioBurn,emission,W,10.0
EmisCO_BioBurn,emission,N,4.0
EmisCO_Ship,emission,E,1.5
EmisCO_Ship,emission,S,8.0
EmisCO_Ship,emission,W,2.0
EmisCO_Ship,emission,N,8.0
EmisNH3_Anthro,emission,E,19.0
EmisNH3_Anthro,emission,S,18.0
EmisNH3_Anthro,emission,W,13.0
EmisNH3_Anthro,emission,N,18.0
EmisNH3_BioBurn,emission,E,5.5
EmisNH3_BioBurn,emission,S,2.0
EmisNH3_BioBurn,emission,W,24.0
EmisNH3_BioBurn,emission,N,6.0
EmisNH3_Natural,emission,E,30.0
EmisNH3_Natural,emission,S,28.0
EmisNH3_Natural,emission,W,29.0
EmisNH3_Natural,emission,N,23.0
EmisNO_Aircraft,emission,E,20.0
EmisNO_Aircraft,emission,S,16.0
EmisNO_Aircraft,emission,W,25.0
EmisNO_Aircraft,emission,N,15.0
EmisNO_Anthro,emission,E,16.0
EmisNO_Anthro,emission,S,11.0
EmisNO_Anthro,emission,W,7.0
EmisNO_Anthro,emission,N,13.0
EmisNO_BioBurn,emission,E,11.0
EmisNO_BioBurn,emission,S,5.0
EmisNO_BioBurn,emission,W,18.0
EmisNO_BioBurn,emission,N,7.0
EmisOC_Anthro,emission,E,17.0
EmisOC_Anthro,emission,S,24.0
EmisOC_Anthro,emission,W,14.0
EmisOC_Anthro,emission,N,28.0
EmisOC_BioBurn,emission,E,7.0
EmisOC_BioBurn,emission,S,3.0
EmisOC_BioBurn,emission,W,12.0
EmisOC_BioBurn,emission,N,1.0
EmisSO2_Aircraft,emission,E,18.0
EmisSO2_Aircraft,emission,S,15.0
EmisSO2_Aircraft,emission,W,19.0
EmisSO2_Aircraft,emission,N,20.0
EmisSO2_Anthro,emission,E,13.0
EmisSO2_Anthro,emission,S,10.0
EmisSO2_Anthro,emission,W,5.0
EmisSO2_Anthro,emission,N,12.0
EmisSO2_BioBurn,emission,E,5.5
EmisSO2_BioBurn,emission,S,4.0
EmisSO2_BioBurn,emission,W,16.0
EmisSO2_BioBurn,emission,N,3.0
EmisSO4_Anthro,emission,E,4.0
EmisSO4_Anthro,emission,S,12.0
